apple    1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat      0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bird     0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
car      0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sky      0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dog      0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
frog     0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
peach    0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
computer 0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fish     0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
orange   0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sea      0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pencil   0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
printer  0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
airplane 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
star     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
